frame,id,real_x,real_y
2008,180,0.55,13.33
2009,180,0.55,13.33
2010,180,0.55,13.33
2011,180,0.56,13.46
2012,180,0.56,13.46
2013,180,0.56,13.46
2014,180,0.56,13.46
2015,180,0.57,13.59
2016,180,0.57,13.59
2017,180,0.56,13.46
2018,180,0.56,13.46
2019,180,0.57,13.59
2020,180,0.57,13.59
2021,180,0.56,13.46
2022,180,0.58,13.72
2023,180,0.58,13.84
2024,180,0.59,13.98
2025,180,0.61,13.97
2026,180,0.61,14.1
2027,180,0.6,14.24
2028,180,0.57,13.59
2029,180,0.5,12.33
2030,180,0.47,12.09
2031,180,0.5,12.58
2032,180,0.56,13.72
2033,180,0.57,13.85
2034,180,0.57,14.25
2047,180,0.58,14.11
2048,180,0.59,13.98
2049,180,0.58,13.72
2050,180,0.57,13.59
2051,180,0.57,13.59
2052,180,0.58,13.72
2053,180,0.57,13.59
2054,180,0.57,13.59
2055,180,0.58,13.72
2056,180,0.58,13.72
2057,180,0.57,13.59
2058,180,0.57,13.59
2059,180,0.56,13.72
2060,180,0.56,13.72
2061,180,0.56,13.72
2062,180,0.54,13.73
2063,180,0.54,13.73
2064,180,0.56,13.72
2065,180,0.56,13.72
2066,180,0.56,13.72
2067,180,0.56,13.72
2068,180,0.56,13.72
2069,180,0.57,13.59
2070,180,0.55,13.59
2071,180,0.56,13.72
2072,180,0.56,13.72
2073,180,0.56,13.72
2074,180,0.56,13.72
2075,180,0.55,13.59
2076,180,0.55,13.59
2077,180,0.55,13.59
2077,185,4.57,14.98
2077,280,1.95,14.02
2078,180,0.55,13.59
2078,185,4.54,14.99
2078,280,1.95,14.02
2079,180,0.55,13.59
2079,280,1.96,14.16
2080,180,0.55,13.59
2080,280,1.96,14.16
2081,180,0.55,13.59
2081,280,1.94,14.16
2082,180,0.55,13.59
2082,280,1.96,14.16
2083,180,0.57,13.59
2083,280,1.96,14.16
2084,180,0.57,13.59
2084,280,1.96,14.16
2085,180,0.57,13.59
2085,280,1.94,14.16
2086,180,0.57,13.59
2086,280,1.94,14.16
2087,180,0.55,13.59
2087,280,1.96,14.16
2088,180,0.57,13.59
2088,280,1.97,14.29
2089,180,0.57,13.59
